Id,Contrast,Homogeneity,Correlation,Entropy,Species
1,0.0001,0.7937,0.9994,0.4065,Piper-Betle-Betel
2,0.0002,0.8389,0.9997,0.4636,Piper-Betle-Betel
3,0.0001,0.761,0.9995,0.4952,Piper-Betle-Betel
4,0.0001,0.7871,0.9994,0.4199,Piper-Betle-Betel
5,0.0001,0.8015,0.9996,0.4164,Piper-Betle-Betel
6,0.0001,0.7877,0.9995,0.4389,Piper-Betle-Betel
7,0.0001,0.8192,0.9997,0.4736,Piper-Betle-Betel
8,0.0001,0.7644,0.9991,0.4304,Piper-Betle-Betel
9,0.0002,0.7387,0.9991,0.4696,Piper-Betle-Betel
10,0.0001,0.8168,0.9996,0.4057,Piper-Betle-Betel
11,0.0001,0.7545,0.9994,0.4454,Piper-Betle-Betel
12,0.0001,0.7687,0.9994,0.4311,Piper-Betle-Betel
13,0.0001,0.8454,0.9997,0.4234,Piper-Betle-Betel
14,0.0001,0.7976,0.9995,0.4846,Piper-Betle-Betel
15,0.0001,0.8237,0.9994,0.3717,Piper-Betle-Betel
16,0.0001,0.8295,0.9996,0.4282,Piper-Betle-Betel
17,0.0001,0.8118,0.9995,0.4379,Piper-Betle-Betel
18,0.0001,0.814,0.9993,0.3666,Piper-Betle-Betel
19,0.0001,0.8175,0.9996,0.4673,Piper-Betle-Betel
20,0.0001,0.7058,0.9994,0.5438,Piper-Betle-Betel
21,0.0002,0.8005,0.9988,0.3526,Piper-Betle-Betel
22,0.0003,0.7236,0.9987,0.4826,Piper-Betle-Betel
23,0.0003,0.8124,0.9987,0.3527,Piper-Betle-Betel
24,0.0003,0.8072,0.9986,0.3563,Piper-Betle-Betel
25,0.0003,0.8108,0.9986,0.3502,Piper-Betle-Betel
26,0.0002,0.7845,0.9982,0.3913,Piper-Betle-Betel
27,0.0002,0.7372,0.9992,0.4974,Piper-Betle-Betel
28,0.0002,0.7465,0.9993,0.4931,Piper-Betle-Betel
29,0.0002,0.7276,0.9992,0.5007,Piper-Betle-Betel
30,0.0001,0.8142,0.9996,0.4239,Piper-Betle-Betel
31,0.0001,0.6617,0.9955,0.4328,Piper-Betle-Betel
32,0.0005,0.6962,0.9977,0.4219,Piper-Betle-Betel
33,0.0007,0.6948,0.9965,0.4267,Piper-Betle-Betel
34,0.0003,0.7592,0.9987,0.4174,Piper-Betle-Betel
35,0.0005,0.7256,0.9976,0.4027,Piper-Betle-Betel
36,0.0008,0.6928,0.9962,0.4353,Piper-Betle-Betel
37,0.0007,0.7461,0.9969,0.3644,Piper-Betle-Betel
38,0.0011,0.6804,0.9962,0.4366,Piper-Betle-Betel
39,0.0003,0.7597,0.9985,0.3784,Piper-Betle-Betel
40,0.0004,0.7653,0.9982,0.3841,Piper-Betle-Betel
41,0.0008,0.7495,0.9957,0.3544,Piper-Betle-Betel
42,0.0006,0.6943,0.9973,0.4478,Piper-Betle-Betel
43,0.0001,0.7229,0.9954,0.3823,Piper-Betle-Betel
44,0.0015,0.6966,0.9948,0.4199,Piper-Betle-Betel
45,0.0006,0.7108,0.9976,0.3989,Piper-Betle-Betel
46,0.0013,0.6875,0.9945,0.4056,Piper-Betle-Betel
47,0.0008,0.6861,0.9964,0.4211,Piper-Betle-Betel
48,0.0009,0.6776,0.9957,0.4412,Piper-Betle-Betel
49,0.0016,0.7654,0.9876,0.4412,Piper-Betle-Betel
50,0.0017,0.6789,0.6786,0.4267,Piper-Betle-Betel
51,0.0001,0.8605,0.9998,0.3945,Ocimum-Tenuiflorum-Tulsi
52,0.0001,0.8105,0.9997,0.4845,Ocimum-Tenuiflorum-Tulsi
53,0.0001,0.84,0.9995,0.3393,Ocimum-Tenuiflorum-Tulsi
54,0.0002,0.6774,0.9994,0.5612,Ocimum-Tenuiflorum-Tulsi
55,0.0001,0.7928,0.9996,0.5181,Ocimum-Tenuiflorum-Tulsi
56,0.0001,0.8303,0.9997,0.4207,Ocimum-Tenuiflorum-Tulsi
57,0.0001,0.7701,0.9996,0.4265,Ocimum-Tenuiflorum-Tulsi
58,0.0001,0.8481,0.9997,0.4222,Ocimum-Tenuiflorum-Tulsi
59,0.0001,0.8242,0.9997,0.4664,Ocimum-Tenuiflorum-Tulsi
60,0.0001,0.6694,0.9994,0.5723,Ocimum-Tenuiflorum-Tulsi
61,0.0001,0.7732,0.9996,0.516,Ocimum-Tenuiflorum-Tulsi
62,0.0001,0.7366,0.9996,0.4959,Ocimum-Tenuiflorum-Tulsi
63,0.0001,0.7249,0.9995,0.5,Ocimum-Tenuiflorum-Tulsi
64,0.0002,0.6241,0.9993,0.5474,Ocimum-Tenuiflorum-Tulsi
65,0.0002,0.8613,0.9994,0.3071,Ocimum-Tenuiflorum-Tulsi
66,0.0001,0.7975,0.9996,0.4651,Ocimum-Tenuiflorum-Tulsi
67,0.0002,0.8151,0.9991,0.3073,Ocimum-Tenuiflorum-Tulsi
68,0.0002,0.8395,0.9993,0.3282,Ocimum-Tenuiflorum-Tulsi
69,0.0001,0.8675,0.9993,0.2921,Ocimum-Tenuiflorum-Tulsi
70,0.0001,0.8893,0.9992,0.2432,Ocimum-Tenuiflorum-Tulsi
71,0.0001,0.7378,0.9995,0.5422,Ocimum-Tenuiflorum-Tulsi
72,0.0002,0.7151,0.9994,0.4135,Ocimum-Tenuiflorum-Tulsi
73,0.0001,0.7561,0.9997,0.4633,Ocimum-Tenuiflorum-Tulsi
